343,THF,52.472999572753906,13.403900146484375,Berlin-Tempelhof International Airport
344,CGN,50.8658981323,7.1427397728,Cologne Bonn Airport
345,DUS,51.289501,6.76678,Düsseldorf Airport
346,MUC,48.353802,11.7861,Munich Airport
347,NUE,49.498699,11.078056,Nuremberg Airport
348,LEJ,51.423889,12.236389,Leipzig/Halle Airport
349,SCN,49.214599609400004,7.10950994492,Saarbrücken Airport
350,STR,48.689899444599995,9.22196006775,Stuttgart Airport
351,TXL,52.5597,13.2877,Berlin-Tegel Airport
352,HAJ,52.461101532,9.685079574580001,Hannover Airport
353,BRE,53.0475006104,8.78666973114,Bremen Airport
354,QEF,49.959999,8.645833,Frankfurt-Egelsbach Airport
355,HHN,49.9487,7.26389,Frankfurt-Hahn Airport
356,MHG,49.473057,8.514167,Mannheim-City Airport
357,N/A,51.03499984741211,8.680832862854004,Allendorf/Eder Airport
358,N/A,49.606945,8.368333,Worms Airport
359,N/A,49.967499,8.147222,Mainz-Finthen Airport
360,EIB,50.991604,10.47973,Eisenach-Kindel Airport
361,SGE,50.707698822021484,8.082969665527344,Siegerland Airport
362,XFW,53.5352783203125,9.835556030273438,Hamburg-Finkenwerder Airport
363,KEL,54.37944412231445,10.145277976989746,Kiel-Holtenau Airport
364,LBC,53.8054008484,10.7192001343,Lübeck Blankensee Airport
365,N/A,50.405555725,6.5288891792,Flugplatz Dahlemer Binz
366,N/A,51.099998474121094,7.599999904632568,Meinerzhagen Airport
367,N/A,51.483890533447266,7.8983330726623535,Arnsberg-Menden Airport
368,ESS,51.40230178833008,6.9373297691345215,Essen Mulheim Airport
369,BFE,51.964722,8.544444,Bielefeld Airport
370,MGL,51.230278,6.504444,Mönchengladbach Airport
371,PAD,51.614101409899995,8.616319656369999,Paderborn Lippstadt Airport
372,N/A,51.99583435058594,6.8405561447143555,Stadtlohn-Vreden Airport
373,DTM,51.51829910279999,7.61223983765,Dortmund Airport
374,AGB,48.425278,10.931667,Augsburg Airport
375,N/A,48.111111,9.762778,Biberach a.d. Riß Airfield
376,N/A,48.39611053466797,12.723610877990723,Eggenfelden Airport
377,N/A,48.106945,10.525,Mindelheim-Mattsies Airfield
378,OBF,48.081402,11.2831,Oberpfaffenhofen Airport
379,RBM,48.90083312988281,12.516667366027832,Straubing Airport
380,N/A,48.6349983215332,13.195555686950684,Vilshofen Airport
381,N/A,47.858890533447266,10.014166831970215,Leutkirch-Unterzeil Airport
382,FDH,47.671298980699994,9.51148986816,Friedrichshafen Airport
383,SZW,53.426998,11.7834,Schwerin Parchim Airport
384,N/A,52.62888717651367,11.818611145019531,Stendal-Borstel Airport
385,N/A,48.77777862548828,10.264721870422363,Aalen-Heidenheim/Elchingen Airport
386,BYU,49.985001,11.64,Bayreuth Airport
387,URD,49.794166564941,11.133610725403,Burg Feuerstein Airport
388,HOQ,50.288612365722656,11.856389045715332,Hof-Plauen Airport
389,N/A,50.0180549621582,10.529443740844727,Haßfurt-Schweinfurt Airport
390,N/A,50.325558,7.528611,Koblenz-Winningen Airfield
391,N/A,49.863888,6.7875,Trier-Föhren Airport
392,N/A,49.304722,8.451389,Speyer Airfield
393,ZQW,49.2094,7.40056,Zweibrücken Airport
394,ZQL,47.97333145139999,8.52222156525,Donaueschingen-Villingen Airport
395,N/A,48.022777557400005,7.83249998093,Freiburg i. Br. Airport
396,N/A,48.053890228271484,9.372777938842773,Mengen-Hohentengen Airport
397,N/A,49.1183319092,9.783888816829998,Adolf Würth Airport
398,N/A,51.607498,13.743611,Finsterwalde/Schacksdorf Airport
399,BWE,52.319199,10.5561,Braunschweig-Wolfsburg Airport
400,KSF,51.417273,9.384967,Kassel-Calden Airport
401,N/A,52.18138885498047,9.946389198303223,Hildesheim Airport
402,BRV,53.506943,8.572778,Bremerhaven Airport
403,EME,53.391109,7.2275,Emden Airport
404,N/A,53.271942138671875,7.441667079925537,Leer-Papenburg Airport
405,WVN,53.502220153808594,8.05222225189209,Wilhelmshaven-Mariensiel Airport
406,BMK,53.59639,6.709167,Borkum Airport
407,NRD,53.70694351196289,7.230000019073486,Norderney Airport
408,FLF,54.77333450317383,9.378889083862305,Flensburg-Schäferhaus Airport
409,N/A,54.220001220703125,9.599444389343262,Rendsburg-Schachtholm Airport
410,GWT,54.9132003784,8.34047031403,Westerland Sylt Airport
411,N/A,59.26029968261719,24.208499908447266,Ämari Air Base
412,KDL,58.99079895019531,22.830699920654297,Kärdla Airport
413,URE,58.22990036010742,22.50950050354004,Kuressaare Airport
